timestamp,class name,accuracy,CV Fold,# of lines,# trained,date time,train time,predict time,total time,
20170221_163024,weka.classifiers.bayes.NaiveBayes,
20170221_163025,weka.classifiers.bayes.NaiveBayesMultinomial,
20170221_163025,weka.classifiers.bayes.NaiveBayesMultinomialText,
20170221_163025,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,
20170221_163025,weka.classifiers.bayes.NaiveBayesUpdateable,
20170221_163110,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.374,0.015,0.0,1.389,
20170221_163111,weka.classifiers.bayes.NaiveBayesMultinomial,86.66666666666667,0,135,15,1.374,0.015,0.0,1.389,
20170221_163111,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,0,135,15,1.374,0.015,0.0,1.389,
20170221_163111,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,66.66666666666667,0,135,15,1.374,0.015,0.0,1.389,
20170221_163111,weka.classifiers.bayes.NaiveBayesUpdateable,93.33333333333333,0,135,15,1.374,0.015,0.0,1.389,
20170221_164037,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.374,0.016,0.015,1.405,
20170221_164038,weka.classifiers.bayes.NaiveBayesMultinomial,86.66666666666667,0,135,15,1.374,0.016,0.015,1.405,
20170221_164038,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,0,135,15,1.374,0.016,0.015,1.405,
20170221_164038,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,66.66666666666667,0,135,15,1.374,0.016,0.015,1.405,
20170221_164038,weka.classifiers.bayes.NaiveBayesUpdateable,93.33333333333333,0,135,15,1.374,0.016,0.015,1.405,
20170221_164348,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.283,0.015,0.009,1.3069999999999997,
20170221_164350,weka.classifiers.bayes.NaiveBayesMultinomial,86.66666666666667,0,135,15,0.015,0.001,0.003,0.019,
20170221_164350,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,0,135,15,0.018,0.001,0.002,0.020999999999999998,
20170221_164350,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,66.66666666666667,0,135,15,0.012,0.001,0.001,0.014000000000000002,
20170221_164350,weka.classifiers.bayes.NaiveBayesUpdateable,93.33333333333333,0,135,15,0.023,0.004,0.003,0.03,
20170221_164447,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.283,0.015,0.008,1.3059999999999998,
20170221_164449,weka.classifiers.bayes.NaiveBayesMultinomial,86.66666666666667,0,135,15,0.016,0.003,0.002,0.020999999999999998,
20170221_164449,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,0,135,15,0.02,0.001,0.002,0.023,
20170221_164449,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,66.66666666666667,0,135,15,0.013,0.001,0.001,0.015,
20170221_164449,weka.classifiers.bayes.NaiveBayesUpdateable,93.33333333333333,0,135,15,0.021,0.004,0.003,0.028,
20170221_164539,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.373,0.015,0.008,1.396,
20170221_164540,weka.classifiers.bayes.NaiveBayesMultinomial,86.66666666666667,0,135,15,0.015,0.002,0.002,0.019000000000000003,
20170221_164540,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,0,135,15,0.016,0.001,0.001,0.018000000000000002,
20170221_164540,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,66.66666666666667,0,135,15,0.01,0.001,0.001,0.012,
20170221_164540,weka.classifiers.bayes.NaiveBayesUpdateable,93.33333333333333,0,135,15,0.011,0.003,0.004,0.018,
20170221_164620,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.385,0.015,0.009,1.4089999999999998,
20170221_164621,weka.classifiers.bayes.NaiveBayesMultinomial,86.66666666666667,0,135,15,0.016,0.002,0.002,0.020000000000000004,
20170221_164621,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,0,135,15,0.017,0.001,0.0,0.018000000000000002,
20170221_164621,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,66.66666666666667,0,135,15,0.012,0.001,0.001,0.014000000000000002,
20170221_164621,weka.classifiers.bayes.NaiveBayesUpdateable,93.33333333333333,0,135,15,0.011,0.002,0.004,0.017,
20170221_164649,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.383,0.014,0.009,1.406,
20170221_164650,weka.classifiers.bayes.NaiveBayesMultinomial,86.66666666666667,0,135,15,0.015,0.002,0.002,0.019000000000000003,
20170221_164650,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,0,135,15,0.025,0.002,0.001,0.028000000000000004,
20170221_164650,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,66.66666666666667,0,135,15,0.019,0.002,0.001,0.022,
20170221_164650,weka.classifiers.bayes.NaiveBayesUpdateable,93.33333333333333,0,135,15,0.026,0.005,0.002,0.033,
